date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:40:59	52218/52218	---M-Z	200	added ('OK')	text/html	etag:%221c66d9-cbfa-5a5f283d50e00-gzip%22	http://vecurosoft.com/products/html/mixlax/demo/index.html	D:/Extra/College/Sem%204/FinalBeautyParlor/vecurosoft.com/products/html/mixlax/demo/index.html	(from )
19:41:00	857/857	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Jun%202020%2014:10:59%20GMT	http://vecurosoft.com/robots.txt		(from )
19:41:00	7666/7666	---M--	200	added ('OK')	image/png	etag:%221c6637-1df2-5a5f283d50e00%22	http://vecurosoft.com/products/html/mixlax/demo/assets/img/favicon.png	D:/Extra/College/Sem%204/FinalBeautyParlor/vecurosoft.com/products/html/mixlax/demo/assets/img/favicon.png	(from http://vecurosoft.com/products/html/mixlax/demo/index.html)
19:41:03	159521/159521	---M--	200	added ('OK')	text/css	etag:%221c5e71-26f21-5a5f283d50e00%22	http://vecurosoft.com/products/html/mixlax/demo/assets/css/bootstrap.min.css	D:/Extra/College/Sem%204/FinalBeautyParlor/vecurosoft.com/products/html/mixlax/demo/assets/css/bootstrap.min.css	(from http://vecurosoft.com/products/html/mixlax/demo/index.html)
19:41:03	6651/6651	---M--	200	added ('OK')	text/css	etag:%221c65e4-19fb-5a5f283d50e00%22	http://vecurosoft.com/products/html/mixlax/demo/assets/css/flaticon.css	D:/Extra/College/Sem%204/FinalBeautyParlor/vecurosoft.com/products/html/mixlax/demo/assets/css/flaticon.css	(from http://vecurosoft.com/products/html/mixlax/demo/index.html)
19:41:04	61210/61210	---M--	200	added ('OK')	text/css	etag:%221c5d8c-ef1a-5a5f283d50e00%22	http://vecurosoft.com/products/html/mixlax/demo/assets/css/animate.css	D:/Extra/College/Sem%204/FinalBeautyParlor/vecurosoft.com/products/html/mixlax/demo/assets/css/animate.css	(from http://vecurosoft.com/products/html/mixlax/demo/index.html)
19:41:06	12795/12795	---M--	200	added ('OK')	text/css	etag:%221c65e6-31fb-5a5f283d50e00%22	http://vecurosoft.com/products/html/mixlax/demo/assets/css/jquery.fancybox.min.css	D:/Extra/College/Sem%204/FinalBeautyParlor/vecurosoft.com/products/html/mixlax/demo/assets/css/jquery.fancybox.min.css	(from http://vecurosoft.com/products/html/mixlax/demo/index.html)
19:41:06	3582/3582	---M--	200	added ('OK')	text/css	etag:%221c65e7-dfe-5a5f283d50e00%22	http://vecurosoft.com/products/html/mixlax/demo/assets/css/meanmenu.css	D:/Extra/College/Sem%204/FinalBeautyParlor/vecurosoft.com/products/html/mixlax/demo/assets/css/meanmenu.css	(from http://vecurosoft.com/products/html/mixlax/demo/index.html)
19:41:06	4183/4183	---M--	200	added ('OK')	text/css	etag:%221c65e8-1057-5a5f283d50e00%22	http://vecurosoft.com/products/html/mixlax/demo/assets/css/nice-select.css	D:/Extra/College/Sem%204/FinalBeautyParlor/vecurosoft.com/products/html/mixlax/demo/assets/css/nice-select.css	(from http://vecurosoft.com/products/html/mixlax/demo/index.html)
19:41:07	16502/16502	---M--	200	added ('OK')	text/css	etag:%221c65e5-4076-5a5f283d50e00%22	http://vecurosoft.com/products/html/mixlax/demo/assets/css/jquery.datetimepicker.min.css	D:/Extra/College/Sem%204/FinalBeautyParlor/vecurosoft.com/products/html/mixlax/demo/assets/css/jquery.datetimepicker.min.css	(from http://vecurosoft.com/products/html/mixlax/demo/index.html)
19:41:07	1895/1895	---M--	200	added ('OK')	text/css	etag:%221c65ea-767-5a5f283d50e00%22	http://vecurosoft.com/products/html/mixlax/demo/assets/css/slick.css	D:/Extra/College/Sem%204/FinalBeautyParlor/vecurosoft.com/products/html/mixlax/demo/assets/css/slick.css	(from http://vecurosoft.com/products/html/mixlax/demo/index.html)
19:41:10	266501/266501	---M--	200	added ('OK')	text/css	etag:%221c65eb-41105-5a5f283d50e00%22	http://vecurosoft.com/products/html/mixlax/demo/assets/css/style.css	D:/Extra/College/Sem%204/FinalBeautyParlor/vecurosoft.com/products/html/mixlax/demo/assets/css/style.css	(from http://vecurosoft.com/products/html/mixlax/demo/index.html)
19:41:11	87854/87854	---M--	200	added ('OK')	text/css	etag:%221c65e9-1572e-5a5f283d50e00%22	http://vecurosoft.com/products/html/mixlax/demo/assets/css/responsive.css	D:/Extra/College/Sem%204/FinalBeautyParlor/vecurosoft.com/products/html/mixlax/demo/assets/css/responsive.css	(from http://vecurosoft.com/products/html/mixlax/demo/index.html)
19:41:12	7922/7922	---M--	200	added ('OK')	image/png	etag:%221c667d-1ef2-5a5f283d50e00%22	http://vecurosoft.com/products/html/mixlax/demo/assets/img/logo.png	D:/Extra/College/Sem%204/FinalBeautyParlor/vecurosoft.com/products/html/mixlax/demo/assets/img/logo.png	(from http://vecurosoft.com/products/html/mixlax/demo/index.html)
